"year","university","school","degree","employment_rate_overall","employment_rate_ft_perm","basic_monthly_mean","basic_monthly_median","gross_monthly_mean","gross_monthly_median","gross_mthly_25_percentile","gross_mthly_75_percentile"
2017,"Nanyang Technological University","College of Sciences","Bachelor of Science (Hons) in Chemistry & Biological Chemistry",70.1,51.1,3035,3000,3173,3100,2800,3488
2017,"Nanyang Technological University","College of Sciences","Bachelor of Science (Hons) in Mathematical Sciences",89.7,79.5,3517,3400,3580,3500,3100,3800
2017,"Nanyang Technological University","College of Sciences","Bachelor of Science (Hons) in Mathematics & Economics",89.8,83.1,3504,3290,3625,3400,3013,3775
2017,"Nanyang Technological University","College of Sciences","Bachelor of Science (Hons) in Physics/Applied Physics",81.6,61.8,3367,3300,3490,3300,3000,3819
2017,"Nanyang Technological University","Sport Science and Management","Bachelor of Science (Hons) (Sport Science & Management)",81.1,48.6,3372,3285,3486,3450,2800,4000
2017,"Nanyang Technological University","National Institute of Education (NIE)","Bachelor of Arts (Hons) (Education)",100,100,3489,3600,3589,3600,3500,3800
2017,"Nanyang Technological University","National Institute of Education (NIE)","Bachelor of Science (Hons) (Education)",100,100,3610,3603,3701,3701,3500,3958
2017,"National University of Singapore","Faculty of Arts & Social Sciences","Bachelor of Arts",85.8,61.9,3005,3000,3107,3000,2700,3300
2017,"National University of Singapore","Faculty of Arts & Social Sciences","Bachelor of Arts (Hons)",88.2,66.7,3309,3300,3391,3360,3000,3600
2017,"National University of Singapore","Faculty of Arts & Social Sciences","Bachelor of Social Sciences",88.3,74.7,3365,3300,3443,3300,3000,3750
2017,"National University of Singapore","Faculty of Dentistry","Bachelor of Dental Surgery",100,100,4124,4050,4143,4050,4000,4400
2017,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Biomedical Engineering)",90.6,81.3,3215,3200,3367,3300,3000,3700
2017,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Chemical Engineering)",87.8,81.3,3550,3500,3727,3600,3300,4000
2017,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Civil Engineering)",95.5,90.9,3361,3300,3427,3300,3135,3700
2017,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Electrical Engineering)",89.4,86.5,3529,3500,3641,3600,3300,3900
2017,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Engineering Science)",76.5,64.7,3783,3600,3827,3675,3440,4200
2017,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Environmental Engineering)",86.3,71.2,3425,3100,3546,3350,3000,3800
2017,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Industrial and Systems Engineering)",93.3,89.9,3905,3725,4035,3875,3450,4200
2017,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Materials Science And Engineering)",94,86,3269,3200,3570,3388,3200,3950
2017,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Mechanical Engineering)",87.3,82.3,3537,3400,3657,3450,3100,4000
2017,"National University of Singapore","Faculty of Law","Bachelor of Laws #",95.8,92.3,4958,5000,5121,5000,4500,5600
2017,"National University of Singapore","Faculty of Science","Bachelor of Applied Science (Hons)",82.1,50,3186,3075,3187,3085,2800,3200
2017,"National University of Singapore","Faculty of Science","Bachelor of Science",76.9,54.5,3053,3000,3214,3082,2800,3400
2017,"National University of Singapore","Faculty of Science","Bachelor of Science (Hons)",85.9,69.3,3340,3200,3435,3300,3000,3700
2017,"National University of Singapore","Faculty of Science","Bachelor of Science (Pharmacy) #",99.1,94.5,3473,3500,3616,3600,3500,3800
2017,"National University of Singapore","NUS Business School","Bachelor of Business Administration",94.9,87.3,3770,3400,4031,3500,3000,4333
2017,"National University of Singapore","NUS Business School","Bachelor of Business Administration (Hons)",98.2,93.6,4272,3725,4388,3800,3450,4782
